mrkl_shop_id;shop_name;business_name;identification_number;first_names;last_names;email;address;address_ref;phone;phone_secondary;logo;branch;web_site;description;UNIDAD DE NEGOCIO;DIVISI�N;ruc;created_at;trade_name;state
2001;Macrotel;IMPORTADORA Y DISTRIBUIDORA MACROTEL SAC;20546288979;Fernando;Roncal;froncal@macrotel.com.pe;Avenida Arequipa 4130, Miraflores - Lima;null;992642166;997938992;https://ripleyperu-prod.mirakl.net/mmp/media/shop-logo/2001;https://ripleyperu-prod.mirakl.net/mmp/media/shop-banner/2001;null;Expertos en accesorios en las �reas de Electro entretenimiento, Computaci�n, Seguridad (industrial, hogar e infantil), Automotor, Electricidad, Ferreter�a, entre otros.;HOGAR;ELECTROHOGAR;20546288979;8/22/2018;Macrotel;Abierta
2034;Bubba Bags;BUBBA BAGS PERU S.A.C.;20606517824;Jenny;Valdiviezo;jvaldiviezo@titanio.pe;AV. ALFREDO BENAVIDES NRO. 4887 INT. 801 URB. LAS GARDENIAS LIMA - LIMA - SANTIAGO DE SURCO;AV. ALFREDO BENAVIDES NRO. 4887 INT. 801 URB. LAS GARDENIAS LIMA - LIMA - SANTIAGO DE SURCO;960212484;3403432;https://ripleyperu-prod.mirakl.net/mmp/media/shop-logo/2034;https://ripleyperu-prod.mirakl.net/mmp/media/shop-banner/2034;null;Bubba Bags originaria de Canad�. Fue inspirada por el d�a a d�a, la espontaneidad del tiempo y la versatilidad de las personas.;BLANDOS;ACCESORIOS;20606517824;8/29/2018;Bubba Bags;Abierta
2036;Ripley Asiste;SISTEC S.A.C.;20473139376;Jorge;Zeballos Chavez;asaavedra@sistecperu.com;CAL.LUIS ALDANA NRO. 341 URB. CORPAC (201) LIMA - LIMA - SAN ISIDRO;null;224 7606 ext 104;null;https://ripleyperu-prod.mirakl.net/mmp/media/shop-logo/2036;null;null;null;HOGAR;ELECTROHOGAR;20473139376;9/3/2018;Ripley Asiste;Abierta
2037;Ibero Librer�as;IBERO A & G S.A.C.;20295754444;Luis;Baco;fguzman@ibero.com.pe;AV. OSCAR R. BENAVIDES NRO. 500 (EX AV. DIAGONAL - ESQ. CON CALLE BERLIN) LIMA - LIMA - MIRAFLORES;AV. OSCAR R. BENAVIDES NRO. 500 (EX AV. DIAGONAL - ESQ. CON CALLE BERLIN) LIMA - LIMA - MIRAFLORES;989224466;null;https://ripleyperu-prod.mirakl.net/mmp/media/shop-logo/2037;https://ripleyperu-prod.mirakl.net/mmp/media/shop-banner/2037;null;Ibero Librer�as (Ibero A&G SAC) es una empresa peruana con 19 a�os en el mercado nacional. Somos importadores, distribuidores y libreros de importantes sellos editoriales del mundo en exclusiva, por ejemplo, Editorial Everest, Ediciones Larousse, Grupo Editorial Patria Cultural, Ediciones Jaguar, Ediciones Ekar�, Harper Collins, Editorial El Ateneo, Ediciones Diamante, Comercial Grupo Anaya, Editorial Combel, Editorial P�ginas de Espuma, Editorial Alma y Groh.;NUEVOS NEGOCIOS;OTRAS CATEGORIAS;20295754444;9/3/2018;Ibero Librer�as;Abierta
2039;Nikon Per�;IMPORTADORA Y DISTRIBUIDORA UDENIO S.R.L.;20505818297;Gonzalo;Cortez;gcortez@nikonperu.com;CAL.FRANCISCO MASIAS NRO. 528 LIMA - LIMA - SAN ISIDRO;null;936 528 083;933 628 008;https://ripleyperu-prod.mirakl.net/mmp/media/shop-logo/2039;https://ripleyperu-prod.mirakl.net/mmp/media/shop-banner/2039;null;null;HOGAR;ELECTROHOGAR;20505818297;9/4/2018;Nikon Per�;Abierta
2046;Pink City - Distribuidor Autorizado Sanrio Per�;PINK CITY S.A.;20602860460;Katherine;Fiestas;pinkcityperu@gmail.com;JR. 8 DE OCTUBRE NRO. 486 INT. 101 LIMA - LIMA - PUEBLO LIBRE (MAGDALENA VIEJA);null;993134353;null;https://ripleyperu-prod.mirakl.net/mmp/media/shop-logo/2046;https://ripleyperu-prod.mirakl.net/mmp/media/shop-banner/2046;null;Pink City es el distribuidor Autorizado por Sanrio en Per�.;BLANDOS;ACCESORIOS;20602860460;9/20/2018;Pink City - Distribuidor Autorizado Sanrio Per�;Abierta
2049;Ohmi Import Store;OHMI IMPORT S.A.;20100261481;Gerardo;Umemoto;gumemoto@ohmi.com.pe;Jr. Cuzco 829-831;JR. CUZCO NRO. 829 CERCADO LIMA - LIMA - LIMA;940208230;998121384;https://ripleyperu-prod.mirakl.net/mmp/media/shop-logo/2049;https://ripleyperu-prod.mirakl.net/mmp/media/shop-banner/2049;null;OHMI IMPORT S.A. es una empresa con m�s de 50 a�os en el mercado peruano, siendo hoy uno de los principales importadores y distribuidores mayoristas a nivel nacional. NUESTRAS PRINCIPALES LINEAS DE COMERCIALIZACION a) Herramientras y Ferreter�a en general. b) Cocina y gastronom�a. c) Cordeles de pesca. d) Tijeras para uso textil y de oficina. NUESTRAS FORTALEZAS a) Calidad de marcas y productos. b) Gran variedad de productos. c) Garant�a. d) Rapidez y eficiencia. Importamos y distribuimos m�s de 60 marcas: STANLEY, TRAMONTINA, SATA, NICHOLSON, SURTEK, ARATY, UNIVERSAL y muchas m�s. Contamos con la representaci�n exclusiva de RUBICON, VECTOR y ZOJIRUSHI.;NUEVOS NEGOCIOS;MEJORAMIENTO DEL HOGAR;20100261481;10/1/2018;Ohmi Import Store;Abierta
2050;SJCAM;SACERCORP S.A.C.;20602623531;Elizabeth;Esqueche Linares;info@sjcamperu.com;CAL.MANUEL TOVAR NRO. 181 DPTO. 701 URB. SANTA CRUZ LIMA - LIMA - MIRAFLORES;CAL.MANUEL TOVAR NRO. 181 DPTO. 701 URB. SANTA CRUZ LIMA - LIMA - MIRAFLORES;985083199;985083199;https://ripleyperu-prod.mirakl.net/mmp/media/shop-logo/2050;https://ripleyperu-prod.mirakl.net/mmp/media/shop-banner/2050;null;La marca l�der SJCAM nace para desarrollar c�maras de acci�n, accesorios y aplicaciones que capturen los mejores momentos y experiencias de la vida. Brindamos la m�s vers�til gama de productos esenciales para viajes, deportes extremos y tu d�a a d�a.;HOGAR;ELECTROHOGAR;20602623531;10/2/2018;SJCAM;Abierta
2054;Groomers;GROOMERS S.R.L.;20509258202;Evelyn;Dorante;despacho.groomers@gmail.com;AV. JORGE CHAVEZ NRO. 258 URB. MIRAFLORES (CRUCE COMANDANTE ESPINAR CON PARDO) LIMA - LIMA - MIRAFLORES;AV. JORGE CHAVEZ NRO. 258 URB. MIRAFLORES (CRUCE COMANDANTE ESPINAR CON PARDO) LIMA - LIMA - MIRAFLORES;994379609;null;https://ripleyperu-prod.mirakl.net/mmp/media/shop-logo/2054;https://ripleyperu-prod.mirakl.net/mmp/media/shop-banner/2054;null;null;NUEVOS NEGOCIOS;MASCOTAS;20509258202;10/15/2018;Groomers;Abierta
2056;Vultec;VULTEC PERU S.A.C.;20602123112;Franklin;Romero;fromero@vultec.pe;JUAN SOTO BERMEO 406. ALMACEN 20;null;936443817;null;https://ripleyperu-prod.mirakl.net/mmp/media/shop-logo/2056;https://ripleyperu-prod.mirakl.net/mmp/media/shop-banner/2056;null;Vultec es una empresa distribuidora de herramientas profesionales de calidad con una de las mayores gamas de herramientas el�ctricas, inal�mbricas, complementos y accesorios. Trabajamos con las mejores marcas dentro del mercado y ofrecemos a nuestros clientes el mejor servicio. Atender a nuestros clientes mejor que nadie es lo que nos diferencia como los especialistas ya que brindamos soluciones inmediatas como asesoramiento del producto y sus funcionalidades, servicio de mantenimiento y rapidez en la entrega. Todo esto nos permite brindar un servicio completo seg�n las necesidades de nuestros clientes.;NUEVOS NEGOCIOS;MEJORAMIENTO DEL HOGAR;20602123112;10/26/2018;Vultec;Abierta
